Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
symbol manipulation,,,,,,
symbolic artifacts,,,,,,
symbolic cues,,,,,,
symbolic gestures,,,,,,
symbolic magnitude,,,,,,
symbols,,,,,,
symmetry,,,,,,
sympathetic concern,,,,,,
sympathovagal balance,,,,,,
sympathy,,,,,,
symptomatic treatment,,,,,,
symptoms,,,,,,
synaesthesia,,,,,,
synaptic plasticity,,,,,,
synaptic-transmission,,,,,,
synaptogenesis,,,,,,
synchronization,,,,,,
synchronization theory,,,,,,
synchrony,,,,,,
synesthesia,,,,,,
synesthesia/synesthesia,,,,,,
syntactic ambiguity resolution,,,,,,
syntactic comprehension,,,,,,
syntactic coordination,,,,,,
syntactic integration,,,,,,
syntactic processes,,,,,,
syntactic processing,,,,,,
syntactic working-memory,,,,,,
syntax,,,,,,
synthetic faces,,,,,,
syrian-hamsters,,,,,,
system,,,,,,
system 1 and system 2 processing,,,,,,
system identification,,,,,,
systems,,,,,,
systems consolidation,,,,,,
systems-model,,,,,,
systolic blood pressure,,,,,,
t2dm,,,,,,
taboo words,,,,,,
tachistoscope,,,,,,
tacs,,,,,,
tactile,,,,,,
tactile acuity,,,,,,
tactile afferents,,,,,,
tactile awareness,,,,,,
tactile discrimination,,,,,,
tactile imagery,,,,,,
tactile motion,,,,,,
tactile perception,,,,,,
tactile stimulation,,,,,,
tai chi chuan exercise,,,,,,
take-the-first heuristic,,,,,,
taking behavior,,,,,,
talairach,,,,,,
talairach atlas,,,,,,
talk,,,,,,
talker variability,,,,,,
talking drums,,,,,,
tap,,,,,,
target,,,,,,
target blanking,,,,,,
target detection,,,,,,
targeting,,,,,,
tas-20,,,,,,
task,,,,,,
task bart,,,,,,
task control,,,,,,
task demand,,,,,,
task dependent connectivity,,,,,,
task design,,,,,,
task development,,,,,,
task difficulty,,,,,,
task effects,,,,,,
task fmri,,,,,,
task interference,,,,,,
task negative,,,,,,
task performance,,,,,,
task positive network (tpn),,,,,,
task preparation,,,,,,
task set,,,,,,
task sharing,,,,,,
task switch,,,,,,
task-based and resting-state fmri,,,,,,
task-based functional connectivity,,,,,,
task-control network,,,,,,
task-difficulty,,,,,,
task-fmri,,,,,,
task-general neural representation,,,,,,
task-induced deactivation,,,,,,
task-irrelevant associations,,,,,,
task-modulated activation,,,,,,
task-performance,,,,,,
task-positive,,,,,,
task-positive network (tpn),,,,,,
task-related changes,,,,,,
task-related effects,,,,,,
task-related fmri,,,,,,
task-set,,,,,,
tasks,,,,,,
taste,,,,,,
taste coding,,,,,,
taste stimuli,,,,,,
taste-visual cross-modality,,,,,,
taunt,,,,,,
taxi drivers,,,,,,
taxometric analysis,,,,,,
taylor aggression paradigm,,,,,,
tdcs,,,,,,
teachers,,,,,,
team leaders,,,,,,
tear,,,,,,
technology,,,,,,
technology acceptance model,,,,,,
technology assessment,,,,,,
teenage brain,,,,,,
teenage drivers,,,,,,
teenage males,,,,,,
tegmental area,,,,,,
television,,,,,,
television advertisements,,,,,,
telling lies,,,,,,
temperament,,,,,,
temperament and character inventory (tci),,,,,,
temperament traits,,,,,,
temperature,,,,,,
template theory,,,,,,
tempoparietal junction,,,,,,
temporal autocorrelation,,,,,,
temporal bisection,,,,,,
temporal cortex,,,,,,
temporal cortices,,,,,,
temporal difference models,,,,,,
temporal discounting,,,,,,
temporal distance,,,,,,
temporal distancing,,,,,,
temporal dynamics,,,,,,
temporal envelope,,,,,,
temporal epilepsy,,,,,,
temporal features,,,,,,
temporal gyrus,,,,,,
temporal integration,,,,,,
temporal intelligence,,,,,,
temporal language area,,,,,,
temporal lobe,,,,,,
temporal lobe epilepsy,,,,,,
temporal network theory,,,,,,
temporal networks,,,,,,
temporal order,,,,,,
temporal pole,,,,,,
temporal pole activity,,,,,,
temporal polysensory area,,,,,,
temporal prediction,,,,,,
temporal processing,,,,,,
temporal processing deficit,,,,,,
temporal receptive windows,,,,,,
temporal tuning,,,,,,
temporal unpredictability,,,,,,
temporal variability,,,,,,
temporal voice area,,,,,,
temporal-frequency,,,,,,
temporal-lobe,,,,,,
temporal-lobe atrophy,,,,,,
temporal-lobe epilepsy,,,,,,
temporal-lobe excision,,,,,,
temporal-lobe excisions,,,,,,
temporal-lobes,,,,,,
temporal-parietal junction,,,,,,
temporo-frontal brain network,,,,,,
temporo-parietal dysfunction,,,,,,
temporo-parietal junction,,,,,,
temporo-parietal junction (tpj),,,,,,
temporoparietal,,,,,,
temporoparietal junction,,,,,,
temporoparietal junction cortex,,,,,,
temptation,,,,,,
tendencies,,,,,,
tennis,,,,,,
tension-resolution patterns,,,,,,
tensor,,,,,,
tensor factorization,,,,,,
tensor pica,,,,,,
term,,,,,,
term-memory,,,,,,
term-memory formation,,,,,,
terror management theory,,,,,,
terror-management theory,,,,,,
test,,,,,,
test score,,,,,,
test trials,,,,,,
test-performance,,,,,,
test-retest,,,,,,
test-retest reliability,,,,,,
test-retest study,,,,,,
testimony,,,,,,
testing effect,,,,,,
testing for interactions in bold data,,,,,,
testosterone,,,,,,
tests,,,,,,
tetrapus conjoined twins,,,,,,
text,,,,,,
text comprehension,,,,,,
text reading,,,,,,
texture,,,,,,
texture perception,,,,,,
texture-discrimination,,,,,,
thalamic connections,,,,,,
thalamic projections,,,,,,
thalamic structures,,,,,,
thalamic-stimulation,,,,,,
thalamo-cortical,,,,,,
thalamo-hippocampal,,,,,,
thalamotomy,,,,,,
thalamus,,,,,,
the l-ifg,,,,,,
the stroop task,,,,,,
theater,,,,,,
theft,,,,,,
thematic categories,,,,,,
thematic conceptual relations,,,,,,
thematic reanalysis,,,,,,
thematic relations,,,,,,
thematic role information,,,,,,
theoretical neuroanatomy,,,,,,
theory of mind,,,,,,
theory of mind (tom),,,,,,
theory-of-mind,,,,,,
theory-of-mind (tom),,,,,,
therapeutic hypothermia,,,,,,
therapy,,,,,,
therapy transfer,,,,,,
thermal agitation,,,,,,
thermal pain,,,,,,
thermal-stimulation,,,,,,
thick ethical concepts,,,,,,
thin,,,,,,
thin slices,,,,,,
thin-slice judgment,,,,,,
things,,,,,,
things go right,,,,,,
thinking,,,,,,
third party,,,,,,
third-party help,,,,,,
third-party punishment,,,,,,
third-person mindreading,,,,,,
thoracic spinal cord,,,,,,
thought,,,,,,
thought identification,,,,,,
thought-sampling,,,,,,
thoughts,,,,,,
threat,,,,,,
threat bias,,,,,,
threat of shock,,,,,,
threat perception,,,,,,
threat sensitivity,,,,,,
threat-related stimuli,,,,,,
threatened egotism,,,,,,
threshold,,,,,,
threshold-free,,,,,,
thresholds,,,,,,
tic suppression,,,,,,
tickling,,,,,,
tics,,,,,,
ties,,,,,,
tilt aftereffect,,,,,,
tilt illusion,,,,,,
time,,,,,,
time course,,,,,,
time courses,,,,,,
time experience,,,,,,
time on task,,,,,,
time perception,,,,,,
time perspective,,,,,,
time preference,,,,,,
time shifts,,,,,,
time-course,,,,,,
time-estimation task,,,,,,
time-series,,,,,,
time-to-collision (ttc),,,,,,
time-travel,,,,,,
time-varying,,,,,,
timecourse,,,,,,
timing,,,,,,
timing processing,,,,,,
tinnitus,,,,,,
tissue probability map,,,,,,
tit-for-tat,,,,,,
tms,,,,,,
tms evidence,,,,,,
to-face interaction,,,,,,
to-target interval,,,,,,
to-trial variability,,,,,,
to-vowel coarticulation,,,,,,
tobacco,,,,,,
tobacco chippers,,,,,,
tobacco control,,,,,,
tobacco dependence,,,,,,
tobacco use,,,,,,
tobacco-smoke carcinogens,,,,,,
told us,,,,,,
tom,,,,,,
tomography,,,,,,
tonal information,,,,,,
tonal stimulation,,,,,,
tone perception,,,,,,
tone-deafness,,,,,,
tongli (ht 5),,,,,,
tongue,,,,,,
tongue height,,,,,,
tonic heart-rate,,,,,,
tonotopic mapping,,,,,,
tonotopic organization,,,,,,
too,,,,,,
tool,,,,,,
tool use,,,,,,
tool use pantomimes,,,,,,
tool-use,,,,,,
tool-use gestures,,,,,,
toolbox,,,,,,
top-down,,,,,,
top-down control,,,,,,
top-down effects,,,,,,
top-down facilitation,,,,,,
top-down influence,,,,,,
top-down mechanism,,,,,,
top-down modulation,,,,,,
top-down predictions,,,,,,
topographic maps,,,,,,
topographic organization,,,,,,
topographical disorientation,,,,,,
topography,,,,,,
topological data analysis,,,,,,
topological organization,,,,,,
topological patterns,,,,,,
topology,,,,,,
toronto alexithymia scale,,,,,,
toronto alexithymia scale-20 items (tas-20),,,,,,
toronto structured interview,,,,,,
toronto structured interview for alexithymia,,,,,,
toronto-alexithymia-scale,,,,,,
touch,,,,,,
touch discrimination,,,,,,
touch perception,,,,,,
touch thresholds,,,,,,
tourette,,,,,,
tourette syndrome,,,,,,
tourette-syndrome,,,,,,
toxicity,,,,,,
tpj,,,,,,
trace conditioning,,,,,,
trace positions,,,,,,
trace reactivation,,,,,,
tracking,,,,,,
tract excitability,,,,,,
tractography,,,,,,
tractography-based parcellation,,,,,,
traffic safety,,,,,,
tragedy,,,,,,
trail,,,,,,
training,,,,,,
training methods,,,,,,
training transfer,,,,,,
trait,,,,,,
trait adjectives,,,,,,
trait anxiety,,,,,,
trait attribution,,,,,,
trait empathy,,,,,,
trait inferences,,,,,,
trait judgments,,,,,,
trait knowledge,,,,,,
trait loneliness,,,,,,
trait memory code,,,,,,
trait meta-mood,,,,,,
trait mindfulness,,,,,,
trait repetition,,,,,,
trait self-esteem (tse),,,,,,
trait warmth and competence,,,,,,
trait-anxiety,,,,,,
traits,,,,,,
trajectories,,,,,,
transcultural,,,,,,
transdisciplinarity,,,,,,
transfer,,,,,,
transfer appropriate processing,,,,,,
transfer effects,,,,,,
transformational leadership,,,,,,
transformations,,,,,,
transgender,,,,,,
transient,,,,,,
transient language control,,,,,,
transition,,,,,,
transitive,,,,,,
transitive inference,,,,,,
transitive reasoning,,,,,,
translation,,,,,,
translational implications,,,,,,
transmission,,,,,,
transmitted infections,,,,,,
transport,,,,,,
transporter,,,,,,
transsexualism,,,,,,
transsexuals,,,,,,
trauma,,,,,,
traumatic life events,,,,,,
treatment,,,,,,
tri-component theory of humor,,,,,,
triadic interaction,,,,,,
triadic interactions,,,,,,
trial,,,,,,
trial-to-trial variability,,,,,,
triangle model,,,,,,
tridimensional personality questionnaire,,,,,,
trier social stress test,,,,,,
trier social stress test (tsst),,,,,,
trigeminal,,,,,,
trigeminal pain,,,,,,
trigeminus,,,,,,
triggered displaced aggression,,,,,,
true belief,,,,,,
truncation,,,,,,
trust,,,,,,
trust decisions,,,,,,
trust game,,,,,,
trustworthiness,,,,,,
truth,,,,,,
truth telling,,,,,,
truth value,,,,,,
truth-telling,,,,,,
tryptophan depletion,,,,,,
tsia,,,,,,
tuning profile,,,,,,
tuning reveals interactions,,,,,,
tuning-fork model of social cognition,,,,,,
turn-based interaction,,,,,,
turn-taking,,,,,,
tutorial,,,,,,
twin,,,,,,
twin study,,,,,,
twitter,,,,,,
two-person neuroscience,,,,,,
type 2 diabetes,,,,,,
type ii error,,,,,,
typed toy preferences,,,,,,
typicality,,,,,,
typicality effect,,,,,,
typically developing-children,,,,,,
ucla loneliness scale,,,,,,
ultimatum,,,,,,
ultimatum game,,,,,,
ultimatum game (ug),,,,,,
ultimatum games,,,,,,
ultrafast learning,,,,,,
ultrasonography,,,,,,
umami and salty,,,,,,
umami taste,,,,,,
unattended speech,,,,,,
unbalanced bilinguals,,,,,,
uncanny valley,,,,,,
uncertainty,,,,,,
uncinate fasciculus,,,,,,
unconscious activation,,,,,,
unconscious memory,,,,,,
unconscious processing,,,,,,
unconscious structural knowledge,,,,,,
unconscious thought,,,,,,
underlying empathy,,,,,,
underpinnings,,,,,,
underspecification,,,,,,
understand others,,,,,,
understanding action,,,,,,
understanding goal-directed action,,,,,,
understanding intentions,,,,,,
understanding others actions,,,,,,
understanding sarcasm,,,,,,
unfair,,,,,,
unfair treatment,,,,,,
unfairness,,,,,,
unfamiliar faces,,,,,,
unforgiveness,,,,,,
unification,,,,,,
unified segmentation,,,,,,
unified sem,,,,,,
unified structural equation modeling,,,,,,
unilateral brain injury,,,,,,
unilateral neglect,,,,,,
unilateral transcranial direct current stimulation,,,,,,
unimodal and supramodal phonological processing,,,,,,
unimodel,,,,,,
unintentional interpersonal coordination,,,,,,
unique,,,,,,
unique entities,,,,,,
unique outcome expectations,,,,,,
unit responses,,,,,,
unit-activity,,,,,,
united-states,,,,,,
universal dimensions,,,,,,
universality,,,,,,
university,,,,,,
university of pennsylvania humor appreciation test,,,,,,
university students,,,,,,
unmyelinated afferents,,,,,,
unmyelinated tactile afferents,,,,,,
unnoticed meanings,,,,,,
unpleasant music,,,,,,
unpleasant odors,,,,,,
unpredictability,,,,,,
unscented transform (ut),,,,,,
unsuccessful psychopaths,,,,,,
unwanted memories,,,,,,
updating,,,,,,
updating the prediction,,,,,,
upper-limb,,,,,,
upregulation,,,,,,
upside-down faces,,,,,,
upstream reciprocity,,,,,,
urge,,,,,,
urinary incontinence,,,,,,
us college-students,,,,,,
use condoms,,,,,,
users,,,,,,
utilitarian,,,,,,
utilitarian judgments,,,,,,
utilitarianism,,,,,,
utility,,,,,,
utility-theory,,,,,,
utilization behavior,,,,,,
utterances,,,,,,
vagal tone,,,,,,
vagina,,,,,,
vaginocervical stimulation,,,,,,
vagus nerve stimulation,,,,,,
vagus nerves,,,,,,
val158met polymorphism,,,,,,
valence,,,,,,
valence decision task,,,,,,
valence hypothesis,,,,,,
valenced information,,,,,,
validation,,,,,,
validity,,,,,,
valuable-relationships hypothesis,,,,,,
valuation,,,,,,
valuation system,,,,,,
value,,,,,,
value calculation,,,,,,
value computation,,,,,,
value computations,,,,,,
value hierarchy,,,,,,
value orientation,,,,,,
value representation,,,,,,
value signals,,,,,,
value-based decision,,,,,,
value-guided choice,,,,,,
values,,,,,,
values-affirmation,,,,,,
variability,,,,,,
variable number,,,,,,
variable selection,,,,,,
variance components,,,,,,
variant frontotemporal dementia,,,,,,
variational bayes,,,,,,
varieties,,,,,,
varying-coefficient model,,,,,,
vascularized composite allotransplantation,,,,,,
vasopressin,,,,,,
vbm,,,,,,
vector machine,,,,,,
vegetative state,,,,,,
ventral acc,,,,,,
ventral attention,,,,,,
ventral attention systems,,,,,,
ventral bed nucleus,,,,,,
ventral hippocampus,,,,,,
ventral intraparietal area,,,,,,
ventral medial prefrontal cortex,,,,,,
ventral occipitotemporal cortex,,,,,,
ventral pallidum,,,,,,
ventral parietal cortex,,,,,,
ventral pfc,,,,,,
ventral prefrontal cortex,,,,,,
ventral premotor,,,,,,
ventral premotor cortex,,,,,,
ventral stream,,,,,,
ventral striatum,,,,,,
ventral striatum activation,,,,,,
ventral striatum/septal region,,,,,,
ventral tegmental area,,,,,,
ventral temporal cortex,,,,,,
ventral visual cortex,,,,,,
ventral visual pathway,,,,,,
ventral visual region,,,,,,
ventral visual stream,,,,,,
ventral visual-cortex,,,,,,
ventrocaudal periaqueductal gray,,,,,,
ventrointermediate nucleus,,,,,,
ventrolateral prefrontal cortex,,,,,,
ventromedial,,,,,,
ventromedial frontal-cortex,,,,,,
ventromedial prefrontal cortex,,,,,,
ventromedial prefrontal cortex (vmpfc),,,,,,
ventromedial prefrontal damage,,,,,,
venture growth,,,,,,
verb,,,,,,
verb retrieval,,,,,,
verbal,,,,,,
verbal communication,,,,,,
verbal comprehension,,,,,,
verbal context,,,,,,
verbal creativity,,,,,,
verbal fluency,,,,,,
verbal fluency task,,,,,,
verbal irony,,,,,,
verbal jokes,,,,,,
verbal label,,,,,,
verbal material,,,,,,
verbal memory,,,,,,
verbal memory decline,,,,,,
verbal reports,,,,,,
verbal working memory,,,,,,
verbal working-memory,,,,,,
verbal-fluency task,,,,,,
verbs,,,,,,
verification,,,,,,
version,,,,,,
vertigo,,,,,,
very preterm birth,,,,,,
vestibular compensation,,,,,,
vestibular neuritis,,,,,,
vestibular stimulation,,,,,,
vibration,,,,,,
vibratory stimuli,,,,,,
vibrotactile stimulator,,,,,,
vicarious embarrassment,,,,,,
vicarious experience,,,,,,
vicarious ostracism,,,,,,
vicarious pain,,,,,,
vicarious reward,,,,,,
vicarious rewards,,,,,,
victim,,,,,,
victim sensitivity,,,,,,
victimization,,,,,,
video,,,,,,
video database,,,,,,
video game,,,,,,
video game playing,,,,,,
video games,,,,,,
video inventory,,,,,,
video-game playing,,,,,,
videogame,,,,,,
viewing eye,,,,,,
viewpoint,,,,,,
vigilance,,,,,,
vigilance-avoidance,,,,,,
vigilance-avoidance theory,,,,,,
violation,,,,,,
violations,,,,,,
violence,,,,,,
violent,,,,,,
violent computer games,,,,,,
violent extremism,,,,,,
violent recidivism,,,,,,
violent video game,,,,,,
violent video games,,,,,,
vipfc,,,,,,
virality,,,,,,
virtual acoustics,,,,,,
virtual agents,,,,,,
virtual brain,,,,,,
virtual environments,,,,,,
virtual hemianopia,,,,,,
virtual lesion analysis,,,,,,
virtual others,,,,,,
virtual partner,,,,,,
virtual reality,,,,,,
virtual worlds,,,,,,
virtual-reality,,,,,,
virtuality,,,,,,
visceral,,,,,,
visceral pain,,,,,,
visible speech,,,,,,
vision,,,,,,
visioning,,,,,,
visual,,,,,,
visual activation,,,,,,
visual aesthetic perception,,,,,,
visual agnosia,,,,,,
visual art,,,,,,
visual attention,,,,,,
visual attention deficit,,,,,,
visual awareness,,,,,,
visual body perception,,,,,,
visual categorization,,,,,,
visual complexity,,,,,,
visual context,,,,,,
visual contrast,,,,,,
visual cortex,,,,,,
visual cues,,,,,,
visual deficit,,,,,,
visual deprivation,,,,,,
visual events,,,,,,
visual evoked potentials,,,,,,
visual experience,,,,,,
visual expertise,,,,,,
visual extinction,,,,,,
visual field,,,,,,
visual field mapping,,,,,,
visual fixations,,,,,,
visual half fields,,,,,,
visual image,,,,,,
visual imagery,,,,,,
visual information,,,,,,
visual integration,,,,,,
visual masking,,,,,,
visual memory,,,,,,
visual mental-imagery,,,,,,
visual neglect,,,,,,
visual object categorization,,,,,,
visual object recognition,,,,,,
visual objects,,,,,,
visual oddball,,,,,,
visual oddball paradigm,,,,,,
visual oddball tasks,,,,,,
visual pathway,,,,,,
visual pathways,,,,,,
visual perception,,,,,,
visual perspective,,,,,,
visual perspective taking,,,,,,
visual perspective taking (vpt),,,,,,
visual processing,,,,,,
visual psychophysics,,,,,,
visual receptive-fields,,,,,,
visual recognition,,,,,,
visual responses,,,,,,
visual scanning,,,,,,
visual search,,,,,,
visual selective attention,,,,,,
visual self-recognition,,,,,,
visual sexual stimulation,,,,,,
visual sexual stimuli,,,,,,
visual short term memory,,,,,,
visual short-term memory,,,,,,
visual spatial attention,,,,,,
visual speech,,,,,,
visual stream,,,,,,
visual streams,,,,,,
visual word,,,,,,
visual word form area,,,,,,
visual word form area (vwfa),,,,,,
visual word reading,,,,,,
visual word recognition,,,,,,
visual word-recognition,,,,,,
visual working memory,,,,,,
visual working-memory,,,,,,
visual-acuity,,,,,,
visual-adaptation,,,,,,
visual-attention,,,,,,
visual-cortex,,,,,,
visual-cortex activity,,,,,,
visual-field maps,,,,,,
